Comunidades y ciudades autónomas de defunción,Total
Andalucía-H,591
An-Mujeres,216
Aragón-H,70
Ar-Mujeres,33
"Asturias, Principado de-H",90
As-Mujeres,35
"Balears, Illes-H",73
Bal-Mujeres,17
Canarias-H,157
Ca-Mujeres,51
Cantabria-H,36
Cant-Mujeres,10
Castilla y León-H,183
CLe-Mujeres,54
Castilla - La Mancha-H,145
CaMan-Mujeres,31
Cataluña-H,419
Cat-Mujeres,142
Comunitat Valenciana-H,318
CV-Mujeres,120
Extremadura-H,76
Ext-Mujeres,13
Galicia-H,220
Gal-Mujeres,85
"Madrid, Comunidad de-H",251
Mad-Mujeres,114
"Murcia, Región de-Hombres",106
Mur-Mujeres,25
"Navarra, Comunidad Foral de-H",32
Nav-Mujeres,12
País Vasco-H,136
PV-Mujeres,45
"Rioja, La-H",21
Rio-Mujeres,7
Ceuta-H,4
Ce-Mujeres,0
Melilla-H,2
Mel-Mujeres,1
